
Dashboard: http://127.0.0.1:8888

 * Serving Flask app 'hr_dashboard_v2'
 * Debug mode: off
[ADB] Spojen na 192.168.1.222:5555 - slusam logcat (ignorisem linije starije od 120s)...
[16:45:15]  Puls: 83 bpm  (watch_ts=1779893008, age=106s)
[16:45:15]  Puls: 82 bpm  (watch_ts=1779893013, age=101s)
[16:45:15]  Puls: 81 bpm  (watch_ts=1779893014, age=102s)
[16:45:15]  Puls: 79 bpm  (watch_ts=1779893015, age=101s)
[16:45:15]  Puls: 78 bpm  (watch_ts=1779893016, age=100s)
[16:45:15]  Puls: 79 bpm  (watch_ts=1779893019, age=96s)
[16:45:15]  Puls: 81 bpm  (watch_ts=1779893021, age=95s)
[16:45:15]  Puls: 82 bpm  (watch_ts=1779893022, age=94s)
[16:45:15]  Puls: 83 bpm  (watch_ts=1779893023, age=93s)
[16:45:15]  Puls: 84 bpm  (watch_ts=1779893024, age=92s)
[16:45:15]  Puls: 83 bpm  (watch_ts=1779893028, age=87s)
[16:45:16]  Puls: 82 bpm  (watch_ts=1779893029, age=87s)
[16:45:16]  Puls: 81 bpm  (watch_ts=1779893030, age=86s)
[16:45:16]  Puls: 80 bpm  (watch_ts=1779893033, age=82s)
[16:45:16]  Puls: 81 bpm  (watch_ts=1779893036, age=79s)
[16:45:16]  Puls: 80 bpm  (watch_ts=1779893037, age=79s)
[16:45:16]  Puls: 81 bpm  (watch_ts=1779893040, age=75s)
[16:45:16]  Puls: 82 bpm  (watch_ts=1779893043, age=72s)
[16:45:16]  Puls: 83 bpm  (watch_ts=1779893045, age=71s)
[16:45:16]  Puls: 84 bpm  (watch_ts=1779893048, age=67s)
[16:45:16]  Puls: 84 bpm  (watch_ts=1779893060, age=55s)
[16:45:16]  Puls: 85 bpm  (watch_ts=1779893064, age=52s)
[16:45:41]  Puls: 84 bpm  (watch_ts=1779893140, age=0s)
[16:45:44]  Puls: 83 bpm  (watch_ts=1779893143, age=0s)
[16:45:44]  Puls: 82 bpm  (watch_ts=1779893144, age=1s)
[16:45:45]  Puls: 81 bpm  (watch_ts=1779893145, age=1s)
[16:45:48]  Puls: 80 bpm  (watch_ts=1779893147, age=0s)
[16:45:49]  Puls: 79 bpm  (watch_ts=1779893148, age=0s)
[16:45:49]  Puls: 78 bpm  (watch_ts=1779893149, age=1s)
[16:45:53]  Puls: 78 bpm  (watch_ts=1779893153, age=1s)
[16:45:57]  Puls: 77 bpm  (watch_ts=1779893156, age=1s)
[16:46:12]  Puls: 87 bpm  (watch_ts=1779893171, age=0s)
[16:46:13]  Puls: 92 bpm  (watch_ts=1779893172, age=0s)
[16:46:13]  Puls: 96 bpm  (watch_ts=1779893173, age=1s)
[16:46:14]  Puls: 99 bpm  (watch_ts=1779893174, age=1s)
[16:46:15]  Puls: 102 bpm  (watch_ts=1779893175, age=1s)
[16:46:17]  Puls: 105 bpm  (watch_ts=1779893176, age=1s)
[16:46:17]  Puls: 108 bpm  (watch_ts=1779893177, age=1s)
[16:46:18]  Puls: 110 bpm  (watch_ts=1779893178, age=1s)
[16:46:19]  Puls: 114 bpm  (watch_ts=1779893179, age=1s)
[16:46:20]  Puls: 116 bpm  (watch_ts=1779893180, age=1s)
[16:46:21]  Puls: 115 bpm  (watch_ts=1779893181, age=1s)
[16:46:22]  Puls: 117 bpm  (watch_ts=1779893182, age=1s)
[16:46:26]  Puls: 116 bpm  (watch_ts=1779893185, age=0s)
[16:46:26]  Puls: 115 bpm  (watch_ts=1779893186, age=1s)
[16:46:29]  Puls: 113 bpm  (watch_ts=1779893188, age=0s)
[16:46:32]  Puls: 112 bpm  (watch_ts=1779893191, age=1s)
[16:46:33]  Puls: 111 bpm  (watch_ts=1779893193, age=1s)
[16:46:36]  Puls: 109 bpm  (watch_ts=1779893195, age=0s)
[16:46:36]  Puls: 110 bpm  (watch_ts=1779893196, age=-0s)
[16:46:37]  Puls: 109 bpm  (watch_ts=1779893197, age=1s)
[16:46:39]  Puls: 108 bpm  (watch_ts=1779893198, age=0s)
[16:46:39]  Puls: 107 bpm  (watch_ts=1779893199, age=1s)
[16:46:40]  Puls: 105 bpm  (watch_ts=1779893200, age=-0s)
[16:46:41]  Puls: 103 bpm  (watch_ts=1779893201, age=1s)
[16:46:44]  Puls: 101 bpm  (watch_ts=1779893203, age=1s)
[16:46:45]  Puls: 100 bpm  (watch_ts=1779893205, age=1s)
[16:46:48]  Puls: 99 bpm  (watch_ts=1779893207, age=0s)
